timestamp,imo,type,length,grossTonnage
2/5/2023 12:39,9711092,TA,91,2878
2/5/2023 12:41,9647899,TA,82,1999
2/5/2023 12:47,9655365,TA,88,2608
2/5/2023 12:51,9228710,TA,160,17413
2/5/2023 13:00,9291171,TA,108,5072
2/5/2023 13:01,9540900,TA,77,1642
2/5/2023 13:05,9635066,TA,102,4189
2/5/2023 13:07,9537238,TA,77,1589
2/5/2023 13:14,9654907,TA,102,4194
2/5/2023 13:16,9256183,TA,58,479
2/5/2023 13:22,9606869,TA,60,592
2/5/2023 13:45,9704049,TA,56,397
2/5/2023 14:19,9780859,CS,363,141950
2/5/2023 14:32,9292462,CS,168,14036
2/5/2023 14:35,9651864,TA,92,2979
2/5/2023 15:01,9809887,TA,100,3965
2/5/2023 15:14,9807334,TA,57,464
2/5/2023 15:14,9253038,CS,213,28596
2/5/2023 15:15,9384071,TA,106,4867
2/5/2023 15:19,9565168,TA,76,1564
2/5/2023 15:24,9435612,TA,216,43718
2/5/2023 15:25,9843675,TA,129,8916
2/5/2023 15:36,9703928,TA,56,399
2/5/2023 15:41,9655755,TA,58,495
2/5/2023 16:05,9397767,TA,87,2532
2/5/2023 16:08,9406362,TA,190,29593
2/5/2023 16:15,9343730,CS,317,93811
2/5/2023 16:35,9647916,TA,82,1999
2/5/2023 16:37,9542128,TA,63,710
2/5/2023 16:54,9742376,TA,58,498
2/5/2023 17:07,9907134,TA,132,9681
2/5/2023 17:22,9784908,TA,58,494
2/5/2023 17:28,9329552,CS,238,40168
2/5/2023 17:54,9781279,TA,217,43984
2/5/2023 17:57,9437232,CS,149,9946
2/5/2023 18:03,9379777,TA,190,29578
2/5/2023 18:38,9558323,TA,88,2630
2/5/2023 18:42,9619696,TA,92,2997
2/5/2023 18:42,9509176,CS,238,39824
2/5/2023 18:47,9659505,TA,84,2239
2/5/2023 18:49,9262144,CS,241,41482
2/5/2023 18:52,9647461,CS,391,176490
2/5/2023 18:59,9285005,CS,311,89010
2/5/2023 19:00,9532329,TA,90,2756
2/5/2023 19:06,9526681,TA,128,8814
2/5/2023 19:09,9741372,CS,366,145251
2/5/2023 19:26,9655365,TA,88,2608
2/5/2023 19:29,9058127,TA,62,656
2/5/2023 19:30,9561411,TA,112,5763
2/5/2023 19:36,9469560,CS,373,153115
2/5/2023 19:45,9640994,CS,201,24261
2/5/2023 19:48,9625267,TA,88,2608
2/5/2023 19:56,9650509,TA,104,4557
2/5/2023 19:58,9813424,TA,99,3892
2/5/2023 20:04,9808704,TA,115,6234
2/5/2023 20:09,9537460,TA,102,4262
2/5/2023 20:12,9467823,TA,90,2834
2/5/2023 20:16,9935698,TA,114,5972
2/5/2023 20:36,9346017,CS,230,36007
2/5/2023 20:50,9908554,TA,114,6113
2/5/2023 20:55,9746499,TA,72,1243
2/5/2023 21:10,9651876,TA,92,2979
2/5/2023 21:27,9664897,CS,290,71821
2/5/2023 21:29,9463346,CS,246,44234
2/5/2023 21:39,9884954,TA,100,3965
2/5/2023 21:44,9424766,TA,101,4081
2/5/2023 21:48,9835903,TA,101,4158
2/5/2023 21:58,9560986,TA,108,5064
2/5/2023 23:03,9899571,TA,119,6848
2/5/2023 23:03,9548811,TA,100,4010
2/5/2023 23:03,9542128,TA,63,710
2/5/2023 23:09,9608049,TA,90,2818
2/5/2023 23:15,9896244,TA,191,29861
2/5/2023 23:19,9909742,TA,123,7783
2/5/2023 23:24,9807334,TA,57,464
2/5/2023 23:38,9692909,TA,51,209
2/5/2023 23:43,9385996,CS,207,26404
2/5/2023 23:49,9634658,CS,178,16889
2/5/2023 23:51,9651125,TA,67,960
3/5/2023 0:29,9630406,CS,337,112967
3/5/2023 0:34,9459632,CS,238,40165
3/5/2023 0:48,9774630,TA,58,495
3/5/2023 0:59,9647899,TA,82,1999
3/5/2023 1:10,9682332,TA,190,29460
3/5/2023 1:16,9138147,CS,172,15095
3/5/2023 1:20,9825049,TA,114,5972
3/5/2023 1:23,9825037,TA,114,5972
3/5/2023 1:29,9701944,TA,90,2795
3/5/2023 1:31,9373577,TA,107,4969
3/5/2023 1:39,9550125,TA,101,4066
3/5/2023 1:55,9305661,CS,293,74651
3/5/2023 2:00,9812676,TA,99,3898
3/5/2023 2:16,9185413,CS,222,32322
3/5/2023 2:30,9588689,TA,86,2405
3/5/2023 2:32,9676199,CS,204,25165
3/5/2023 2:36,9480502,TA,127,8489
3/5/2023 3:11,9493030,TA,107,4915
3/5/2023 3:13,9955131,TA,73,1308
3/5/2023 3:22,9288019,TA,208,38842
3/5/2023 3:30,9494280,CS,250,46444
3/5/2023 3:33,9813424,TA,99,3892
3/5/2023 3:56,9812664,TA,99,3898
3/5/2023 4:38,9730191,TA,92,2995
3/5/2023 4:45,9812365,TA,104,4565
3/5/2023 4:49,9424522,TA,101,4096
3/5/2023 4:54,9682112,TA,112,5725
3/5/2023 5:13,9407237,TA,58,499
3/5/2023 5:50,9509841,TA,92,2999
3/5/2023 6:07,9825051,TA,114,5972
3/5/2023 6:21,9795660,CS,418,215553
3/5/2023 6:29,0,TA,52,268
3/5/2023 6:37,9679907,CS,326,102931
3/5/2023 6:38,9525819,TA,109,5219
3/5/2023 6:43,9085596,CS,138,7869
3/5/2023 6:54,9935686,TA,114,5972
3/5/2023 7:03,9247546,CS,282,66332
3/5/2023 7:15,9357963,CS,292,73899
3/5/2023 7:17,9662655,TA,102,4194
3/5/2023 7:22,9838826,TA,114,6011
3/5/2023 7:33,9386017,CS,207,26404
3/5/2023 7:34,9773210,CS,415,210691
3/5/2023 7:45,9450210,TA,100,3924
3/5/2023 7:47,9170975,TA,73,1358
3/5/2023 7:50,9730854,CS,179,17119
3/5/2023 8:05,9671888,TA,69,1074
3/5/2023 8:10,9529358,TA,100,4010
3/5/2023 8:18,9635066,TA,102,4189
3/5/2023 8:18,9675121,TA,92,2999
3/5/2023 8:19,9627655,TA,63,724
3/5/2023 8:22,9573173,TA,77,1602
3/5/2023 9:12,9105968,CS,178,16800
3/5/2023 9:24,9863376,TA,75,1492
3/5/2023 9:30,0,CS,168,14089
3/5/2023 9:31,9885142,CS,207,26255
3/5/2023 9:36,9649067,TA,72,1274
3/5/2023 9:45,9655377,TA,88,2608
3/5/2023 9:50,9443877,TA,191,30049
3/5/2023 9:56,9438327,TA,107,4998
3/5/2023 9:58,9678654,TA,63,724
3/5/2023 10:09,9467043,CS,253,47855
3/5/2023 10:14,9809057,TA,127,8611
3/5/2023 10:18,9651876,TA,92,2979
3/5/2023 10:19,9884954,TA,100,3965
3/5/2023 10:37,9801419,TA,99,3853
3/5/2023 10:40,9066423,TA,59,522
3/5/2023 11:01,9638563,TA,214,42341
3/5/2023 11:03,9812418,TA,128,8620
3/5/2023 11:27,9542128,TA,63,710
3/5/2023 11:35,9717383,TA,91,2871
3/5/2023 11:41,9832377,TA,146,13136
3/5/2023 11:41,9355769,CS,238,40168
3/5/2023 11:42,9711092,TA,91,2878
3/5/2023 12:19,9656876,TA,84,2239
3/5/2023 12:55,9360439,TA,174,22521
3/5/2023 12:57,9692923,TA,51,209
3/5/2023 13:03,8717257,TA,49,148
3/5/2023 13:17,9460629,TA,111,5589
3/5/2023 13:51,9062960,CS,233,37323
3/5/2023 14:02,9362712,CS,192,21018
3/5/2023 14:05,9414046,TA,120,7206
3/5/2023 14:06,9702118,TA,82,2009
3/5/2023 14:09,9431824,CS,239,40541
3/5/2023 14:18,9817652,TA,68,987
3/5/2023 14:28,9594896,TA,214,42411
3/5/2023 14:31,9730971,TA,126,8294
3/5/2023 14:37,9628805,TA,82,2067
3/5/2023 14:40,9746499,TA,72,1243
3/5/2023 14:46,9910997,TA,114,6113
3/5/2023 14:58,9260017,TA,177,23511
3/5/2023 14:59,9747118,TA,191,29848
3/5/2023 15:00,9825075,TA,114,5972
3/5/2023 15:25,9537226,TA,77,1589
3/5/2023 15:27,9842750,CS,96,2761
3/5/2023 15:34,9548811,TA,100,4010
3/5/2023 15:38,9440837,CS,241,41358
3/5/2023 15:38,9717371,TA,91,2871
3/5/2023 15:42,9386005,CS,207,26404
3/5/2023 15:50,9651876,TA,92,2979
3/5/2023 15:50,9261449,CS,282,66332
3/5/2023 16:03,9299628,CS,314,91410
3/5/2023 16:07,9155391,CS,183,18285
3/5/2023 16:09,9692909,TA,51,209
3/5/2023 16:25,9493030,TA,107,4915
3/5/2023 16:39,9677480,TA,66,897
3/5/2023 16:46,9254927,TA,187,28059
3/5/2023 16:56,9671888,TA,69,1074
3/5/2023 17:04,9374325,TA,139,11321
3/5/2023 17:07,9235581,CS,212,28093
3/5/2023 17:25,9661455,TA,103,4374
3/5/2023 17:40,8717257,TA,49,148
3/5/2023 17:49,9884954,TA,100,3965
3/5/2023 18:03,9537214,TA,77,1589
3/5/2023 18:09,9821158,BC,,7757
3/5/2023 18:29,9809887,TA,100,3965
3/5/2023 18:31,9656424,TA,62,662
3/5/2023 18:34,9759305,TA,58,498
3/5/2023 18:43,9903774,TA,189,29063
3/5/2023 18:47,9178290,CS,206,26047
3/5/2023 18:47,9371036,TA,139,11248
3/5/2023 19:02,9606869,TA,60,592
3/5/2023 19:04,9691759,TA,58,498
3/5/2023 19:17,9438315,TA,107,4996
3/5/2023 19:37,9461506,CS,314,91761
3/5/2023 19:43,9664536,TA,63,724
3/5/2023 19:43,9635066,TA,102,4189
3/5/2023 19:49,9307229,CS,332,108069
3/5/2023 19:58,9311763,CS,211,27786
3/5/2023 20:00,9537161,TA,77,1602
3/5/2023 20:24,9421271,TA,139,11261
3/5/2023 20:40,9576911,TA,107,4915
3/5/2023 20:47,9601003,TA,77,1602
3/5/2023 20:56,9046435,TA,73,1323
3/5/2023 21:11,9671876,TA,69,1074
3/5/2023 21:16,9550591,TA,92,2990
3/5/2023 21:26,9692909,TA,51,209
3/5/2023 21:32,9650509,TA,104,4557
3/5/2023 21:32,9467823,TA,90,2834
3/5/2023 21:35,9910973,TA,114,6113
3/5/2023 21:46,9680279,TA,92,2995
3/5/2023 21:56,9217022,CS,205,25369
3/5/2023 22:02,9330068,CS,317,94322
3/5/2023 22:04,9439838,TA,139,11267
3/5/2023 22:17,9301263,CS,172,15167
3/5/2023 22:21,9909742,TA,123,7783
